"U.S. food imports, estimated value by country",,,,,,,,,,,,,,,,,,,,,,,Annual growth,,,,,,,,,,,,,,,,,,,Avg.growth
,,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,2000-17
,,,,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,Percent,,,,,,,,,,,,
Top 64 U.S. food import sources 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,United Kingdom,,"1,152.9","1,157.1","1,103.2","1,175.0","1,230.1","1,351.2","1,364.3","1,440.0","1,568.1","1,596.9","1,574.7","1,736.5","1,881.6","2,039.6","2,183.9","2,278.3","2,291.4","2,426.1","2,512.5",,0.4,-4.7,6.5,4.7,9.8,1.0,5.6,8.9,1.8,-1.4,10.3,8.4,8.4,7.1,4.3,0.6,5.9,3.6,,4.5
15,New Zealand(*),,866.7,960.7,"1,070.6","1,125.1","1,188.8","1,475.3","1,518.0","1,469.2","1,453.3","1,511.1","1,362.6","1,495.1","1,688.1","1,865.3","1,854.7","2,222.3","2,508.1","2,315.8","2,315.1",,10.8,11.4,5.1,5.7,24.1,2.9,-3.2,-1.1,4.0,-9.8,9.7,12.9,10.5,-0.6,19.8,12.9,-7.7,0.0,,6.0
16,Peru,,251.3,218.0,223.5,263.3,309.0,392.6,494.2,647.4,757.3,900.7,906.8,"1,092.9","1,504.1","1,450.6","1,534.4","1,915.6","1,937.7","2,058.9","2,217.5",,-13.2,2.5,17.8,17.3,27.1,25.9,31.0,17.0,18.9,0.7,20.5,37.6,-3.6,5.8,24.8,1.2,6.3,7.7,,13.6
17,Spain,,758.3,721.0,691.5,775.6,903.4,944.7,"1,030.9","1,113.5","1,190.0","1,213.7","1,088.8","1,249.9","1,330.4","1,428.7","1,471.8","1,786.8","1,809.6","2,019.9","2,191.8",,-4.9,-4.1,12.2,16.5,4.6,9.1,8.0,6.9,2.0,-10.3,14.8,6.4,7.4,3.0,21.4,1.3,11.6,8.5,,6.4
18,Guatemala,,671.1,686.8,590.0,642.8,735.4,754.6,872.0,857.1,989.7,"1,224.8","1,202.9","1,290.2","1,759.2","1,885.7","1,701.6","1,830.9","1,869.3","1,844.2","2,001.8",,2.3,-14.1,9.0,14.4,2.6,15.6,-1.7,15.5,23.8,-1.8,7.3,36.4,7.2,-9.8,7.6,2.1,-1.3,8.5,,6.9
19,Netherlands,,"1,094.6","1,269.9","1,356.2","1,514.4","1,637.4","1,648.4","1,604.4","1,819.1","1,992.3","1,899.3","1,682.7","1,811.6","1,878.6","1,932.5","1,887.9","1,840.7","1,883.3","1,947.1","1,932.0",,16.0,6.8,11.7,8.1,0.7,-2.7,13.4,9.5,-4.7,-11.4,7.7,3.7,2.9,-2.3,-2.5,2.3,3.4,-0.8,,3.4
20,Colombia,,868.5,807.8,642.6,655.8,691.3,749.9,"1,014.2","1,035.1","1,023.9","1,265.1","1,257.3","1,436.3","1,923.2","1,574.8","1,568.8","1,785.5","1,814.7","1,681.2","1,897.9",,-7.0,-20.4,2.0,5.4,8.5,35.2,2.1,-1.1,23.6,-0.6,14.2,33.9,-18.1,-0.4,13.8,1.6,-7.4,12.9,,5.5
21,Germany(*),,632.0,634.7,611.8,658.0,753.0,872.0,960.2,"1,045.8","1,141.9","1,265.7","1,156.6","1,253.4","1,475.7","1,465.8","1,543.2","1,536.4","1,473.4","1,588.6","1,818.4",,0.4,-3.6,7.5,14.4,15.8,10.1,8.9,9.2,10.8,-8.6,8.4,17.7,-0.7,5.3,-0.4,-4.1,7.8,14.5,,6.3
22,Costa Rica,,850.6,847.7,841.8,839.2,882.8,896.0,911.1,"1,145.9","1,222.4","1,199.7","1,110.9","1,296.0","1,453.6","1,562.8","1,506.8","1,607.2","1,489.9","1,615.0","1,615.4",,-0.3,-0.7,-0.3,5.2,1.5,1.7,25.8,6.7,-1.9,-7.4,16.7,12.2,7.5,-3.6,6.7,-7.3,8.4,0.0,,3.9
23,Ecuador,,"1,014.1",713.9,762.3,839.9,917.4,879.0,963.5,"1,074.5","1,092.4","1,194.0","1,368.5","1,370.1","1,696.7","1,628.2","1,725.2","2,045.8","1,894.3","1,732.1","1,543.5",,-29.6,6.8,10.2,9.2,-4.2,9.6,11.5,1.7,9.3,14.6,0.1,23.8,-4.0,6.0,18.6,-7.4,-8.6,-10.9,,3.2
24,Philippines,,624.9,607.8,554.3,573.3,660.6,721.1,777.4,851.2,933.0,"1,160.5",922.0,"1,104.6","1,644.0","1,462.9","1,256.6","1,440.5","1,385.6","1,345.2","1,489.7",,-2.7,-8.8,3.4,15.2,9.2,7.8,9.5,9.6,24.4,-20.6,19.8,48.8,-11.0,-14.1,14.6,-3.8,-2.9,10.7,,6.1
25,Argentina,,641.4,664.1,627.3,600.4,554.3,610.7,782.6,915.7,987.6,"1,093.6",979.7,"1,098.1","1,531.6","1,607.9","1,606.2","1,371.1","1,516.5","1,431.7","1,471.7",,3.5,-5.5,-4.3,-7.7,10.2,28.1,17.0,7.9,10.7,-10.4,12.1,39.5,5.0,-0.1,-14.6,10.6,-5.6,2.8,,5.5
26,Switzerland(*),,138.7,133.7,125.4,160.9,192.4,224.4,228.1,257.6,378.5,702.0,657.1,656.1,765.4,854.7,991.3,"1,109.1","1,354.6","1,266.6","1,302.3",,-3.6,-6.3,28.4,19.6,16.6,1.6,12.9,46.9,85.5,-6.4,-0.2,16.7,11.7,16.0,11.9,22.1,-6.5,2.8,,15.0
27,Austria,,43.7,69.4,118.2,113.6,209.8,370.4,475.4,795.2,639.5,376.5,375.5,440.6,523.1,602.5,585.2,580.2,695.6,792.2,967.6,,58.8,70.4,-3.9,84.7,76.6,28.3,67.3,-19.6,-41.1,-0.3,17.4,18.7,15.2,-2.9,-0.9,19.9,13.9,22.1,,23.6
28,Honduras,,233.9,361.7,338.1,347.4,335.2,388.4,434.9,419.2,499.9,557.2,492.4,557.2,767.8,843.1,736.8,796.0,810.3,860.5,925.0,,54.6,-6.5,2.7,-3.5,15.9,12.0,-3.6,19.3,11.5,-11.6,13.2,37.8,9.8,-12.6,8.0,1.8,6.2,7.5,,9.0
29,Cote d'Ivoire,,296.3,258.3,226.5,279.7,410.2,467.9,615.6,470.5,438.1,632.4,639.9,786.7,877.1,747.0,826.9,960.3,943.0,"1,056.5",912.6,,-12.8,-12.3,23.5,46.6,14.1,31.6,-23.6,-6.9,44.3,1.2,22.9,11.5,-14.8,10.7,16.1,-1.8,12.0,-13.6,,8.3
30,Japan,,414.8,428.5,373.2,402.5,429.6,456.1,508.5,533.5,563.3,652.9,663.5,686.2,726.6,740.8,729.1,748.6,790.8,876.5,886.2,,3.3,-12.9,7.8,6.8,6.2,11.5,4.9,5.6,15.9,1.6,3.4,5.9,1.9,-1.6,2.7,5.6,10.8,1.1,,4.5
31,Norway(*),,199.4,195.7,159.6,169.1,180.1,162.5,170.9,207.8,233.8,217.3,385.2,570.1,402.3,332.8,396.3,496.0,553.5,693.5,854.0,,-1.8,-18.5,5.9,6.5,-9.8,5.2,21.6,12.5,-7.1,77.2,48.0,-29.4,-17.3,19.1,25.2,11.6,25.3,23.1,,11.0
32,Turkey,,174.8,142.5,152.4,148.9,212.8,202.7,231.5,265.3,317.8,329.8,312.6,344.3,386.6,410.7,547.5,568.1,611.4,837.2,797.3,,-18.5,7.0,-2.3,43.0,-4.8,14.2,14.6,19.8,3.8,-5.2,10.1,12.3,6.2,33.3,3.8,7.6,36.9,-4.8,,9.8
33,"Korea, South",,176.0,196.8,210.2,227.0,232.1,253.9,294.5,310.2,324.0,352.7,351.4,408.7,471.2,490.5,565.4,590.8,627.0,686.0,739.6,,11.8,6.8,8.0,2.2,9.4,16.0,5.4,4.4,8.9,-0.4,16.3,15.3,4.1,15.3,4.5,6.1,9.4,7.8,,8.4
34,Belgium-Luxembourg(*),,141.6,133.9,154.3,158.4,194.4,254.3,297.8,353.4,374.2,391.0,339.5,420.1,527.8,560.2,571.1,668.3,744.1,722.7,727.8,,-5.5,15.3,2.6,22.8,30.8,17.1,18.7,5.9,4.5,-13.2,23.7,25.6,6.1,2.0,17.0,11.3,-2.9,0.7,,10.1
35,Nicaragua,,156.2,212.3,173.4,180.1,185.2,231.3,246.4,307.6,340.4,414.3,369.5,480.4,580.1,617.6,485.5,665.8,638.7,629.4,709.0,,35.9,-18.3,3.9,2.8,24.9,6.5,24.8,10.7,21.7,-10.8,30.0,20.8,6.5,-21.4,37.1,-4.1,-1.5,12.6,,10.1
36,Malaysia,,286.3,233.6,206.1,232.2,329.2,542.3,597.0,733.4,"1,046.1","1,743.1","1,280.1","1,635.4","2,273.1","1,776.6","1,398.5","1,353.9",971.5,774.1,683.5,,-18.4,-11.8,12.7,41.8,64.7,10.1,22.8,42.6,66.6,-26.6,27.8,39.0,-21.8,-21.3,-3.2,-28.2,-20.3,-11.7,,9.2
37,Poland,,99.9,122.9,147.0,191.1,227.1,236.3,228.6,230.5,268.6,293.3,288.9,314.8,311.8,366.0,372.6,419.4,452.2,470.4,619.7,,23.0,19.6,30.1,18.8,4.1,-3.3,0.8,16.5,9.2,-1.5,9.0,-0.9,17.4,1.8,12.6,7.8,4.0,31.8,,11.1
38,Denmark(*),,374.6,427.5,417.9,424.5,472.7,452.9,411.6,374.7,383.0,385.6,415.8,418.1,478.8,447.3,552.4,589.1,534.2,578.5,601.6,,14.1,-2.2,1.6,11.3,-4.2,-9.1,-9.0,2.2,0.7,7.8,0.6,14.5,-6.6,23.5,6.6,-9.3,8.3,4.0,,3.0
39,Russia,,381.6,334.2,297.7,348.0,337.8,312.1,405.9,499.6,574.0,447.5,464.2,436.5,379.7,316.9,386.3,374.9,378.4,477.8,526.3,,-12.4,-10.9,16.9,-2.9,-7.6,30.1,23.1,14.9,-22.0,3.7,-6.0,-13.0,-16.5,21.9,-3.0,0.9,26.3,10.2,,3.0
40,Taiwan,,360.4,324.6,324.2,251.5,248.0,272.6,272.7,262.4,280.1,328.1,292.7,310.8,368.0,387.5,391.6,411.4,416.8,447.3,497.1,,-9.9,-0.1,-22.4,-1.4,10.0,0.0,-3.8,6.7,17.1,-10.8,6.2,18.4,5.3,1.1,5.0,1.3,7.3,11.1,,2.3
41,Madagascar,,27.0,37.9,83.9,120.9,181.3,138.0,38.8,35.7,40.3,35.3,35.4,37.0,36.5,53.9,59.8,83.8,129.2,238.5,419.8,,40.2,121.4,44.0,50.0,-23.9,-71.9,-8.0,12.7,-12.4,0.3,4.6,-1.5,47.8,10.9,40.2,54.2,84.6,76.0,,26.1
42,Dominican Republic,,195.6,206.1,219.1,239.9,262.5,235.8,239.8,304.5,300.0,275.1,366.3,405.2,428.9,482.0,353.6,369.8,407.2,406.4,413.6,,5.4,6.3,9.5,9.4,-10.2,1.7,27.0,-1.5,-8.3,33.1,10.6,5.8,12.4,-26.6,4.6,10.1,-0.2,1.8,,5.1
43,Greece,,92.8,110.7,108.5,137.9,133.8,145.2,164.9,172.3,266.5,218.4,189.9,214.9,241.7,238.1,277.3,288.2,347.2,384.6,396.3,,19.3,-2.0,27.0,-2.9,8.5,13.5,4.5,54.6,-18.0,-13.0,13.1,12.5,-1.5,16.5,3.9,20.5,10.8,3.0,,9.5
44,Sweden,,271.1,276.9,343.6,377.7,400.7,422.5,467.4,429.1,472.6,479.3,483.0,494.5,501.0,477.6,461.9,473.2,400.0,378.7,368.9,,2.1,24.1,9.9,6.1,5.4,10.6,-8.2,10.1,1.4,0.8,2.4,1.3,-4.7,-3.3,2.4,-15.5,-5.3,-2.6,,2.1
45,Uruguay,,78.2,90.7,79.7,50.4,123.3,362.0,498.4,316.4,347.7,132.5,133.5,129.5,188.3,224.6,262.1,267.6,387.4,312.9,330.3,,15.9,-12.1,-36.7,144.6,193.5,37.7,-36.5,9.9,-61.9,0.7,-3.0,45.4,19.3,16.7,2.1,44.8,-19.2,5.6,,20.4
46,Israel(*),,99.8,96.9,106.3,114.5,141.5,169.3,160.3,159.1,177.5,183.4,193.8,212.6,235.0,266.4,271.9,295.7,298.4,321.0,324.3,,-2.9,9.7,7.7,23.5,19.7,-5.3,-0.7,11.6,3.3,5.7,9.7,10.5,13.4,2.1,8.8,0.9,7.6,1.0,,7.0
47,South Africa,,130.4,163.2,126.5,154.2,169.8,173.0,194.4,212.1,181.7,180.8,185.7,227.4,218.3,262.0,253.4,268.9,280.1,268.3,319.9,,25.2,-22.5,21.9,10.1,1.9,12.4,9.1,-14.3,-0.5,2.7,22.5,-4.0,20.0,-3.3,6.1,4.2,-4.2,19.2,,5.9
48,Ghana,,41.9,70.3,57.0,27.9,11.4,22.9,35.0,75.0,58.7,35.5,100.2,193.7,281.7,190.3,197.9,212.7,238.9,249.4,254.0,,67.9,-18.9,-51.0,-59.1,100.7,52.6,114.4,-21.8,-39.5,182.3,93.4,45.4,-32.4,4.0,7.5,12.3,4.4,1.8,,25.8
49,Iceland,,239.4,190.0,152.4,167.7,147.7,157.7,142.6,143.6,127.3,104.0,92.1,107.2,107.7,140.8,162.5,172.9,185.0,215.2,229.3,,-20.7,-19.8,10.0,-11.9,6.8,-9.6,0.7,-11.3,-18.4,-11.4,16.3,0.5,30.8,15.4,6.4,7.0,16.4,6.5,,0.8
50,Sri Lanka,,34.2,40.2,31.6,32.9,39.7,43.2,42.9,53.7,54.8,52.7,46.3,64.5,80.9,115.7,122.1,162.8,216.8,208.9,227.5,,17.8,-21.5,4.0,20.8,8.8,-0.7,25.1,2.1,-3.8,-12.1,39.2,25.4,43.1,5.5,33.3,33.2,-3.7,8.9,,12.5
51,Morocco,,67.9,62.4,57.2,71.1,91.3,90.3,88.1,102.3,118.4,139.6,115.6,163.6,191.1,146.4,166.1,210.1,239.1,200.6,202.4,,-8.2,-8.3,24.2,28.5,-1.1,-2.4,16.1,15.7,17.9,-17.2,41.6,16.8,-23.4,13.5,26.4,13.8,-16.1,0.9,,7.7
52,El Salvador,,122.2,182.8,100.6,76.3,109.1,100.2,150.1,145.7,182.2,237.7,198.9,216.9,357.0,349.5,213.0,191.1,223.9,210.5,188.6,,49.6,-45.0,-24.2,43.0,-8.1,49.8,-2.9,25.1,30.5,-16.3,9.0,64.6,-2.1,-39.1,-10.3,17.2,-6.0,-10.4,,6.9
53,Ethiopia(*),,23.7,22.3,21.0,17.6,25.2,33.3,47.8,53.2,69.5,117.0,82.3,99.5,118.5,96.8,103.5,110.3,147.7,132.8,167.9,,-6.1,-5.7,-16.4,43.8,31.9,43.5,11.3,30.6,68.4,-29.7,21.0,19.1,-18.3,6.9,6.5,34.0,-10.1,26.4,,14.3
54,Portugal,,79.8,72.5,70.4,89.7,85.2,91.8,104.0,106.9,109.7,108.9,94.5,105.6,120.0,116.1,127.5,140.0,151.4,144.5,160.4,,-9.2,-2.9,27.5,-5.0,7.7,13.3,2.8,2.6,-0.7,-13.3,11.7,13.6,-3.2,9.9,9.8,8.1,-4.5,11.0,,4.4
55,Kenya,,34.7,34.0,38.6,38.1,40.2,49.2,52.0,56.3,50.7,63.7,57.5,75.9,90.1,101.7,84.2,110.0,132.9,122.4,157.7,,-2.0,13.5,-1.3,5.4,22.6,5.6,8.2,-9.9,25.6,-9.8,32.0,18.9,12.8,-17.2,30.6,20.9,-7.9,28.8,,9.8
56,Jamaica,,76.9,68.8,66.4,77.4,79.8,76.4,90.3,95.3,100.0,108.8,104.0,122.0,121.7,107.4,92.9,101.3,118.7,121.6,143.3,,-10.5,-3.5,16.5,3.1,-4.3,18.2,5.6,4.9,8.8,-4.4,17.3,-0.3,-11.8,-13.5,9.0,17.3,2.4,17.8,,4.0
57,Latvia,,1.2,1.6,2.0,2.7,2.8,9.3,23.1,15.4,9.3,15.7,31.2,40.1,117.2,142.0,131.7,145.6,147.4,166.8,142.4,,36.0,29.9,31.3,3.9,234.2,148.7,-33.3,-40.0,70.1,98.0,28.7,192.1,21.2,-7.3,10.6,1.2,13.2,-14.7,,45.8
58,Panama,,175.7,143.4,142.3,136.9,147.8,139.6,170.6,160.2,156.1,154.3,118.5,141.5,154.6,159.5,144.9,137.3,136.0,139.5,133.8,,-18.4,-0.7,-3.8,8.0,-5.6,22.2,-6.1,-2.5,-1.2,-23.2,19.4,9.2,3.1,-9.1,-5.3,-0.9,2.5,-4.0,,-0.9
59,Hong Kong,,80.9,91.1,82.0,98.2,76.3,68.0,75.0,79.7,78.2,81.3,73.1,77.8,85.5,83.4,94.2,94.2,116.4,126.0,117.5,,12.6,-10.0,19.7,-22.3,-10.9,10.4,6.2,-1.9,4.0,-10.1,6.5,9.8,-2.4,13.0,-0.1,23.6,8.3,-6.7,,2.8
60,Pakistan,,39.1,39.5,37.3,29.1,33.1,36.7,38.2,46.9,53.2,80.8,62.2,65.7,85.0,129.9,124.8,124.5,128.5,110.2,116.8,,0.9,-5.7,-21.8,13.8,10.7,4.2,22.7,13.6,51.8,-23.0,5.6,29.4,52.8,-4.0,-0.2,3.2,-14.2,6.0,,8.1
61,Ukraine,,1.5,1.6,2.8,4.9,8.6,10.0,10.9,16.4,15.3,16.6,16.7,14.8,16.5,27.1,35.7,74.5,146.0,81.9,113.9,,4.7,83.2,72.7,76.0,16.1,8.6,50.4,-6.4,8.2,0.9,-11.6,12.1,63.8,31.7,108.7,95.9,-43.9,39.1,,33.9
62,Bolivia,,13.7,16.0,15.9,20.4,20.8,30.4,30.9,32.3,37.6,60.0,75.4,92.6,111.7,107.7,190.9,243.8,155.3,105.7,108.4,,16.9,-0.7,28.0,2.2,46.3,1.5,4.5,16.6,59.4,25.7,22.9,20.6,-3.6,77.3,27.7,-36.3,-31.9,2.6,,15.5
63,"Other Pacific Islands, NEC(*)",,23.1,27.3,68.4,62.8,65.4,82.6,80.2,79.2,68.1,71.5,81.4,88.0,40.1,83.8,79.7,80.2,91.8,97.7,104.6,,18.6,150.1,-8.2,4.1,26.3,-2.8,-1.2,-14.0,5.0,13.9,8.0,-54.4,108.9,-5.0,0.6,14.5,6.4,7.1,,15.4
64,Egypt,,14.2,14.5,15.4,17.3,17.7,19.8,25.2,38.6,45.9,45.7,78.0,57.8,70.3,71.5,72.0,77.3,87.8,88.7,99.3,,2.2,5.9,12.6,2.5,11.6,27.1,53.1,19.2,-0.5,70.7,-25.9,21.7,1.6,0.8,7.3,13.6,1.0,11.9,,13.1
,Rest of world,,"1,187.2","1,337.7","1,253.6","1,239.2","1,322.3","1,446.5","1,470.9","1,551.0","1,534.1","1,584.8","1,418.7","1,488.1","1,580.4","1,548.3","1,744.5","1,868.7","2,042.5","1,836.1","1,944.9",,12.7,-6.3,-1.1,6.7,9.4,1.7,5.4,-1.1,3.3,-10.5,4.9,6.2,-2.0,12.7,7.1,9.3,-10.1,5.9,,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,,"43,105.8","45,416.5","46,063.1","49,209.3","55,328.9","61,531.4","67,803.6","74,649.9","81,076.2","88,722.2","81,220.7","91,322.5","107,576.9","111,802.8","115,000.6","125,188.6","126,777.6","129,119.3","137,236.6",,5.4,1.4,6.8,12.4,11.2,10.2,10.1,8.6,9.4,-8.5,12.4,17.8,3.9,2.9,8.9,1.3,1.8,6.3,,6.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(*) = Includes sub-countries and island members.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/ Values are estimated based on country shares of total U.S. import value for foods (HS 01-04, 07-13, 15-22, 33)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" and calibrated with respect to total U.S. food imports as estimated in worksheet ""FOOD$"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: USDA, www.fas.usda.gov/gats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
